Namn	Id
Sandsjöbacka faunabro söderut	SE_STA_CAMERA_PacificWest_4500145
Sköndal	SE_STA_CAMERA_Orion_338
Sege nordost	SE_STA_CAMERA_PacificSouth_2500049
Skansbron	SE_STA_CAMERA_Pacific_595
Lackarebäcksmotet N söderut	SE_STA_CAMERA_Orion_4500098
Sege sydväst	SE_STA_CAMERA_PacificSouth_2500048
Stallarholmen	SE_STA_CAMERA_Pacific_589
Stora Wäsby	SE_STA_CAMERA_Orion_378
Lackarebäcksmotet N norrut	SE_STA_CAMERA_Orion_4500099
Lackarebäcksmotet S norrut	SE_STA_CAMERA_Orion_4500101
Stava	SE_STA_CAMERA_Orion_443
Lackarebäcksmotet S söderut	SE_STA_CAMERA_Orion_4500102
Skogskyrkogården	SE_STA_CAMERA_Orion_335
Stora Frösunda	SE_STA_CAMERA_Pacific_545
Landskrona Norra Nordväst	SE_STA_CAMERA_Orion_2500041
Sveaplan/Roslagstull	SE_STA_CAMERA_Orion_313
Landskrona Norra Sydöst	SE_STA_CAMERA_Orion_2500042
Sveavägen norrut	SE_STA_CAMERA_Orion_308
Landskrona Södra Norr	SE_STA_CAMERA_Orion_2500043
Syrhålamotet sydöst	SE_STA_CAMERA_Orion_4500059
Sockenvägen	SE_STA_CAMERA_Orion_336
Sveavägen söderut	SE_STA_CAMERA_Orion_310
Sofiehill	SE_STA_CAMERA_Orion_558
Landskrona Södra Söder	SE_STA_CAMERA_Orion_2500044
Syrhålamotet väst	SE_STA_CAMERA_Orion_4500058
Torpamotet österut	SE_STA_CAMERA_PacificWest_4500131
Torrekullamotet Södra söderut	SE_STA_CAMERA_PacificWest_4500126
Torpmotet norrut	SE_STA_CAMERA_Orion_4500086
Torpmotet österut	SE_STA_CAMERA_Orion_4500087
Söderköping S	SE_STA_CAMERA_Pacific_465
Torrekullamotet Södra norrut	SE_STA_CAMERA_PacificWest_4500125
Brottby	SE_STA_CAMERA_Orion_439
Tpl Fredhäll	SE_STA_CAMERA_Orion_366
Tpl Arninge	SE_STA_CAMERA_Orion_263
Tpl Glädjen	SE_STA_CAMERA_Orion_380
Tpl Barkarby östra	SE_STA_CAMERA_Pacific_516
Tpl Barkarby	SE_STA_CAMERA_Orion_488
Tpl Lugnet	SE_STA_CAMERA_Orion_350
Tpl Kungens kurva	SE_STA_CAMERA_Orion_412
Tpl Länna	SE_STA_CAMERA_Pacific_526
Tpl Kungsängen	SE_STA_CAMERA_Orion_440
Talltunneln mynning	SE_STA_CAMERA_Orion_328
Tappströmsbron	SE_STA_CAMERA_Orion_451
Tpl Kvarnholmen	SE_STA_CAMERA_Orion_347
Tpl Bergshamra norra	SE_STA_CAMERA_Pacific_583
Tpl Moraberg	SE_STA_CAMERA_Orion_501
Tpl Haga södra	SE_STA_CAMERA_Pacific_590
Tpl Lahäll	SE_STA_CAMERA_Orion_266
Tpl Bergshamra södra	SE_STA_CAMERA_Pacific_582
Tpl Gubbängen	SE_STA_CAMERA_Orion_334
Tpl Bergshamra östra	SE_STA_CAMERA_Pacific_584
Tpl Bergshamra västra	SE_STA_CAMERA_Pacific_576
Tingstadstunneln N	SE_STA_CAMERA_Orion_4500110
Tpl Linvävartorpet	SE_STA_CAMERA_Orion_574
Tpl Märsta	SE_STA_CAMERA_Orion_376
Tpl Larsboda	SE_STA_CAMERA_Pacific_520
Tpl Hallunda	SE_STA_CAMERA_Orion_466
Tpl Handen	SE_STA_CAMERA_Pacific_524
Tpl Linvävartorpet norra	SE_STA_CAMERA_Orion_573
Tpl Linvävartorpet södra	SE_STA_CAMERA_Orion_575
Tpl Nacka	SE_STA_CAMERA_Orion_345
Tingstadstunneln S	SE_STA_CAMERA_Orion_4500111
Tpl Hjulsta östra	SE_STA_CAMERA_Orion_515
Bäckebol Norra norrut	SE_STA_CAMERA_Orion_4500012
Tpl Ropsten	SE_STA_CAMERA_0_604
Tpl Jakobsberg	SE_STA_CAMERA_Orion_487
Bäckebol Norra söderut	SE_STA_CAMERA_Orion_4500011
Tomteboda Postterminal	SE_STA_CAMERA_0_599
Tpl Danderyds sjukhus N	SE_STA_CAMERA_Pacific_533
Tpl Jordbro	SE_STA_CAMERA_Pacific_525
Tpl Danderyds kyrka	SE_STA_CAMERA_Orion_268
Tpl Kallhäll	SE_STA_CAMERA_Orion_486
Tpl Rinkeby mot Rissne	SE_STA_CAMERA_Pacific_512
Tpl Nybygget	SE_STA_CAMERA_Orion_386
Torpamotet västerut	SE_STA_CAMERA_PacificWest_4500132
Tpl Rosenkälla	SE_STA_CAMERA_Orion_262
Tpl Ropsten	SE_STA_CAMERA_0_603
Tpl Farsta	SE_STA_CAMERA_Orion_333
Tpl Karlberg	SE_STA_CAMERA_0_601
Tpl Danderyds sjukhus S	SE_STA_CAMERA_Orion_269
Tpl Viggbyholm	SE_STA_CAMERA_Orion_264
Tpl Karlberg Västra	SE_STA_CAMERA_0_600
Tpl Tomteboda Södra	SE_STA_CAMERA_0_597
Tpl Tensta östra	SE_STA_CAMERA_Pacific_514
Tpl Tureberg	SE_STA_CAMERA_Orion_383
Tpl Kista	SE_STA_CAMERA_Orion_455
Tpl Kista mot Rinkeby	SE_STA_CAMERA_Orion_452
Bulltofta västerut	SE_STA_CAMERA_Orion_2500003
Tpl Tomteboda Östra	SE_STA_CAMERA_0_598
Trafikplats Hägernäs	SE_STA_CAMERA_Pacific_518
Trafikplats Hagbylund	SE_STA_CAMERA_Orion_353
Asptuna	SE_STA_CAMERA_Orion_422
Tpl Trångsund	SE_STA_CAMERA_Pacific_521
Trafikplats Järva krog	SE_STA_CAMERA_Pacific_541
Tullen	SE_STA_CAMERA_Orion_504
Tumba centrum	SE_STA_CAMERA_Pacific_594
Trafikplats Inverness	SE_STA_CAMERA_Orion_562
Trafikplats Järva krog N	SE_STA_CAMERA_Pacific_540
Tpl Åbyvägen mot E4/E20	SE_STA_CAMERA_Orion_326
Ullundatunneln öst	SE_STA_CAMERA_Orion_403
Trafikplats Järva krog S	SE_STA_CAMERA_Pacific_548
Ullnasjön	SE_STA_CAMERA_Orion_563
Tpl Åbyvägen mot Södra länken	SE_STA_CAMERA_Orion_461
Ullundatunneln väst	SE_STA_CAMERA_Orion_404
Tuvängen	SE_STA_CAMERA_Orion_505
Trafikplats Saltskog	SE_STA_CAMERA_Orion_569
Tpl Ösmo	SE_STA_CAMERA_Orion_388
Willinsbron Norrut	SE_STA_CAMERA_Orion_4500016
Törnskogstunneln Ö	SE_STA_CAMERA_Orion_462
Trafikplats Skvaltan	SE_STA_CAMERA_Orion_565
Tpl Ärvinge södra	SE_STA_CAMERA_Pacific_511
Ulriksdals golfbana	SE_STA_CAMERA_Pacific_538
Ulricehamnstunneln österut	SE_STA_CAMERA_Orion_4500105
Ulricehamn bro österut	SE_STA_CAMERA_PacificWest_4500120
